Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.8
"Nutrients: Fluoride, F (µg)"
Food Subset:All Foods
Ordered by:Food Name
Measured by:Household
Report Run at: 03-19-2016T20:59
NDB_NO,Description,Weight(g),Measure,"Fluoride, F"(µg)Per Measure,
"""03009""","Babyfood, meat, ham, junior",28.35,"1.0 oz",0.9,,
"""03011""","Babyfood, meat, lamb, junior",28.35,"1.0 oz",2.8,,
"""03016""","Babyfood, meat, turkey, junior",19.0,"1.0 tbsp",8.3,,
"""03005""","Babyfood, meat, veal, strained",16.0,"1.0 tbsp",0.2,,
"""42279""","Babyfood, peas and brown rice",230.0,"1.0 cup",90.6,,
"""03122""","Babyfood, peas, dices, toddler",28.35,"1.0 oz",5.1,,
"""03139""","Babyfood, prunes, without vitamin c, strained",15.0,"1.0 tbsp",0.3,,
"""03302""","Babyfood, snack, GERBER GRADUATE YOGURT MELTS",7.0,"1.0 serving",0.6,,
"""03998""","Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack",7.0,"18.0 piece",0.3,,
"""03216""","Babyfood, teething biscuits",28.35,"1.0 oz",0.6,,
"""03100""","Babyfood, vegetables, carrots, junior",224.0,"1.0 cup",26.9,,
"""03099""","Babyfood, vegetables, carrots, strained",224.0,"1.0 cup",2.2,,
"""03120""","Babyfood, vegetables, corn, creamed, junior",240.0,"1.0 cup",76.8,,
"""03092""","Babyfood, vegetables, green beans, junior",240.0,"1.0 cup",28.8,,
"""03091""","Babyfood, vegetables, green beans, strained",240.0,"1.0 cup",38.4,,
"""03121""","Babyfood, vegetables, peas, strained",16.0,"1.0 tbsp",3.6,,
"""03105""","Babyfood, vegetables, squash, junior",16.0,"1.0 tbsp",0.2,,
"""03104""","Babyfood, vegetables, squash, strained",16.0,"1.0 tbsp",0.1,,
"""03108""","Babyfood, vegetables, sweet potatoes strained",224.0,"1.0 cup",2.2,,
"""03109""","Babyfood, vegetables, sweet potatoes, junior",224.0,"1.0 cup",22.4,,
"""03024""","Babyfood, water, bottled, GERBER, without added fluoride.",113.0,"1.0 serving",45.8,,
